,hisp,pop,n_competitors,ratings,reviews,spread_rating,metrics
32,0.229,92428,18.0,3.63888888889,72.6111111111,0.0017851733241,0.00285869828874
33,0.083,9253,1.0,3.0,59.0,0.0,0.0191289311575
34,0.083,9253,1.0,3.5,67.0,0.0,0.0253431319572
35,0.359,9327,5.0,4.0,6.4,0.00075050927415,0.00274471963118
36,0.17,93305,11.0,3.13636363636,41.8181818182,0.00139328010289,0.00140568056153
37,0.17,93305,2.0,4.25,138.0,0.000653769894432,0.00628583677188
38,0.582,243916,16.0,3.53125,23.9375,0.000211138260713,0.00034655084896
39,0.948,94396,29.0,3.6724137931,26.2068965517,0.00101699224543,0.00101956193452
40,0.948,94396,4.0,3.375,21.25,0.000127124030679,0.000759764714607
41,0.332,945942,25.0,3.88,337.44,0.00297058382015,0.0013840882422
42,0.256,95631,11.0,3.13636363636,36.0,0.000742437075844,0.00118067458156
43,0.256,95631,1.0,5.0,1.0,0.0,5.22843011157e-05
44,0.65,96455,27.0,3.5,11.2592592593,0.000342128453683,0.00040855743515
45,0.65,96455,1.0,4.0,1.0,0.0,4.14701155979e-05
46,0.266,97207,21.0,3.5,218.333333333,0.0119127223348,0.00786123084414
47,0.676,99171,27.0,3.48148148148,12.2962962963,0.00041342731242,0.000431671838001
48,0.197,9918,6.0,3.25,76.0,0.005444646098,0.0249042145594
49,0.197,9918,4.0,3.625,90.5,0.000100826779593,0.0330774853801
50,0.197,9918,1.0,3.5,140.0,0.0,0.0494051220004
51,0.108,9932,6.0,3.0,18.3333333333,0.00281917035844,0.00553765606122
52,0.282,99478,23.0,3.76086956522,63.9130434783,0.0021110195219,0.00241629928263
53,0.704,99553,20.0,3.875,30.45,0.00107480437556,0.0011852355027
54,0.066,7727,8.0,2.875,39.875,0.00491782062896,0.0148363692248
55,0.028,8098,2.0,4.0,5.0,0.0,0.0024697456162
56,0.023,8142,3.0,3.33333333333,4.0,0.00110537951363,0.00163759927946
57,0.026,8191,2.0,5.0,2.0,0.0,0.0012208521548
58,0.014,8211,2.0,1.0,6.0,0.0,0.000730727073438
59,0.023,8216,2.0,3.0,7.0,0.000486854917235,0.00255598831548
60,0.074,9611,7.0,3.07142857143,22.4285714286,0.00301737592342,0.00716759495391
